para_id,context,container_kind,table_index,row_index,col_index,paragraph_index,paragraph_index_in_cell,styleId,numId,ilvl,text
p000035,body,body,,,,34,,ListParagraph,6,0,"Argument is not debate. Argument shows the depth of your understanding of a topic. The goal of argument is to persuade, not to win points by taking a strong position."
p000036,body,body,,,,35,,,,,
p000037,body,body,,,,36,,Heading3,,,The Parthenon: A Metaphor for Argument
p000038,body,body,,,,37,,,,,
p000039,body,body,,,,38,,,,,"Built in Greece between 447 and 438 BC, the Parthenon remains the most important surviving building of classical Greece. Because of its ability to endure for more than 2,500 years, the Parthenon is seen as an example of strength, durability and robustness and is often used to explain the concepts of argument. The idea of argument also came from classical Greece. Aristotle (384–322BC), often called ‘the father of logic’, described logical reasoning in his writings, and today we still refer to many of his ideas."
p000040,body,body,,,,39,,Heading3,,,The ORE Framework
p000041,body,body,,,,40,,Heading4,,,Activity 1
p000042,body,body,,,,41,,ListParagraph,5,0,"The Parthenon has three main parts: the foundation, the columns, and the roof. Together, they form a commonly used model to represent argument. Which part of the Parthenon (the foundation, the columns or the roof) represents:"
p000043,body,body,,,,42,,ListParagraph,2,0,Opinion?
p000044,body,body,,,,43,,ListParagraph,2,0,Reasons?
p000045,body,body,,,,44,,ListParagraph,2,0,Evidence?
p000046,body,body,,,,45,,ListParagraph,5,0,"Using the Parthenon as a model, can you explain the process of logical argument? Think about the size and volume of the foundation and its purpose, the number of columns and how they support the roof. Also, think about the order in which the Parthenon was built. Is there a similarity between how the Parthenon was built, and how opinions, ideas and argument develop? Further, think about how important the connections are between the foundation and the columns, and the columns and the roof. What does that mean about argument?"
p000047,body,body,,,,46,,Heading4,,,Activity 2
p000048,body,body,,,,47,,ListParagraph,9,0,Read the example of an ORE argument below:
p000049,body,body,,,,48,,,,,"As  far as I‘m concerned, the government should ban the use of single-use plastic shopping bags. The reason for this is clear: they cause serious environmental damage and harm to wildlife. Many animals mistake plastic for food, which can lead to injury or death. According to a United Nations report, over 100,000 marine animals die each year from plastic pollution. Plastic bags also break down into microplastics, which end up in the food chain and can affect human health. The only way to reduce this problem is to stop producing single-use bags and replace them with reusable alternatives."
p000050,body,body,,,,49,,ListParagraph,9,0,Can you identify:
p000051,body,body,,,,50,,ListParagraph,8,0,The opinion statement?
p000052,body,body,,,,51,,ListParagraph,8,0,The reason?
p000053,body,body,,,,52,,ListParagraph,8,0,The evidence?
p000054,body,body,,,,53,,ListParagraph,9,0,Is the argument logical? Is it strong? Explain.
p000055,body,body,,,,54,,Heading4,,,Activity 3
p000056,body,body,,,,55,,,,,"Do you agree with the argument above? Why? Why not? Give your opinion with a reason, and if possible, provide evidence to support it."
p000057,body,body,,,,56,,Heading2,,,Expressing Your Opinion
p000058,body,body,,,,57,,,,,Opinion is defined in the Oxford Learner’s Dictionary as:
p000059,body,body,,,,58,,ListParagraph,,,"Your feelings or thoughts about somebody/something, rather than a fact."
p000060,body,body,,,,59,,ListParagraph,,,The beliefs or views of a group of people.
p000061,body,body,,,,60,,ListParagraph,,,Advice from a professional person.
p000062,body,body,,,,61,,,,,There are three important points we can learn from this:
p000063,body,body,,,,62,,ListParagraph,4,0,"Opinion can be private or public – you can have your own opinion, or you can share an opinion with others."
p000064,body,body,,,,63,,ListParagraph,4,0,Opinion is not fact.
p000065,body,body,,,,64,,ListParagraph,4,0,"Opinion can be feelings, thoughts, beliefs, views or an expert’s advice."
p000066,body,body,,,,65,,Heading4,,,Activity
p000067,body,body,,,,66,,ListParagraph,7,0,What phrases do you commonly use to express your opinion in English?
p000068,body,body,,,,67,,ListParagraph,7,0,"Read the following opinion phrases. Then, underline the part or parts of the sentences above which indicate the speaker is sharing an opinion. Give each phrase a rating from 1 to 5, where 1 is very weak and 5 is very strong."
p000077,body,body,,,,68,,,,,
p000078,body,body,,,,69,,ListParagraph,7,0,Choose from the following broad topics and practice making opinion statements. Try to make statements of varied strength.
p000091,body,body,,,,70,,Heading4,,,Examples
p000092,body,body,,,,71,,ListParagraph,38,0,"In my opinion, the managers (business leaders) need to communicate clearly with their staff. Otherwise, there can be misunderstandings."
p000093,body,body,,,,72,,ListParagraph,38,0,"I was happy to see sports climbing included in the Tokyo 2020 Olympics. In my opinion, it’s one of the most challenging sports you can compete in."
p000094,body,body,,,,73,,,,,
p000095,body,body,,,,74,,Heading2,,,Reasoning 1
p000096,body,body,,,,75,,,,,Reasoning is your thinking process. Logical reasoning makes clear and strong connections between evidence and opinions. It is an essential part of logical speaking.
p000097,body,body,,,,76,,Heading3,,,Linking Words 1: Conjunctions
p000098,body,body,,,,77,,,,,"Conjunctions are words which connect two ideas together: ‘and’, ‘but’ and ‘or’ are common conjunctions. We often use conjunctions for simple reasoning."
p000107,body,body,,,,78,,Heading4,,,Activity
p000108,body,body,,,,79,,ListParagraph,14,0,Use the conjunctions above to complete the sentences below. There could be more than one correct answer.
p000109,body,body,,,,80,,ListParagraph,13,0,"We haven’t finished the report, ____________________ we should cancel our meeting on Monday."
p000110,body,body,,,,81,,ListParagraph,13,0,"____________________ an accident on the highway, I missed the meeting."
p000111,body,body,,,,82,,ListParagraph,13,0,The project had some unexpected delays. ____________________ we went over budget.
p000112,body,body,,,,83,,ListParagraph,13,0,The plane was late arriving in Sydney. ____________________ I missed my connecting flight.
p000113,body,body,,,,84,,ListParagraph,13,0,I had problems with my computer all day ____________________ I had to stay late on Friday.
p000114,body,body,,,,85,,ListParagraph,13,0,I got into the office early this morning ____________________ finish my work on the sales report. 
p000115,body,body,,,,86,,ListParagraph,13,0,I am late ____________________ my car broke down.
p000116,body,body,,,,87,,ListParagraph,14,0,"With a partner, talk about some recent decisions you have made at work. Give reasons explaining your decisions using some of the conjunctions for reasoning."
p000117,body,body,,,,88,,Heading3,,,Linking Words 2: Discourse Markers
p000118,body,body,,,,89,,,,,"Discourse markers are words or phrases like anyway, right, okay, as I say, and to begin with. We use them to connect, organise and manage what we say or write, or to express attitude."
p000146,body,body,,,,90,,Heading4,,,Activity
p000147,body,body,,,,91,,ListParagraph,16,0,Write another discourse marker for each communication function in the table above.
p000148,body,body,,,,92,,ListParagraph,16,0,Practice making sentences with the discourse markers. Choose from the topics below:
p000161,body,body,,,,93,,,,,
p000162,body,body,,,,94,,Heading2,,,Reasoning 2
p000163,body,body,,,,95,,Heading3,,,Order and Organisation
p000164,body,body,,,,96,,p,,,"As we learned above, linking words can be used to order or sequence what we say. This is very important in logical speaking because the information you share in your argument must be presented in a logical order."
p000165,body,body,,,,97,,p,,,Some of the common words and phrases which we use for this are:
p000186,body,body,,,,98,,p,,,* ‘firstly’ and ‘secondly’ are more formal than ‘first’ and ‘second’.
p000187,body,body,,,,99,,Heading4,,,Activity 1
p000188,body,body,,,,100,,,,,Use the vocabulary in the table above to add order and organisation in the activities below.
p000189,body,body,,,,101,,ListParagraph,15,0,Look at your work schedule and explain what you did on a busy day last week.
p000190,body,body,,,,102,,ListParagraph,15,0,"Explain a simple process in your office, for example, how to use the photocopier, or how to book a meeting room."
p000191,body,body,,,,103,,Heading4,,,Activity 2
p000192,body,body,,,,104,,,,,"Answer the following questions and think of reasons to support your answers. Share your answers and your reasons with a partner. Try to use conjunctions and discourse markers, and order your sentences to make clear and logical connections."
p000193,body,body,,,,105,,ListParagraph,18,0,Why did you join your organization?
p000194,body,body,,,,106,,ListParagraph,18,0,What do you like most about your job? Why?
p000195,body,body,,,,107,,ListParagraph,18,0,Who do you admire at work? Why?
p000196,body,body,,,,108,,ListParagraph,18,0,What do you want to achieve in the next three years? Why?
p000197,body,body,,,,109,,ListParagraph,18,0,
p000198,body,body,,,,110,,Heading2,,,Supporting Evidence 1
p000199,body,body,,,,111,,,,,"Evidence is the information which causes us to believe something is true. The more evidence there is, the more likely it is to be true. Evidence is the foundation of logical speaking. The type and amount of evidence you use to support your opinions will determine how effective you will be at persuading others."
p000236,body,body,,,,112,,,,,"When evaluating evidence, consider the following:"
p000237,body,body,,,,113,,ListParagraph,37,0,What is the purpose of the source of the evidence? Who is the audience?
p000238,body,body,,,,114,,ListParagraph,37,0,"Is the information credible? Who is the author, and what are her qualifications? Is the publisher reputable and reliable?"
p000239,body,body,,,,115,,ListParagraph,37,0,Is the information current and relevant?
p000240,body,body,,,,116,,ListParagraph,37,0,"Is the information objective, or is it biased to support an agenda (political, religious, social or commercial)?"
p000241,body,body,,,,117,,ListParagraph,37,0,Is the information accurate and reliable? It is well researched and referenced? What is the data collection methodology? 
p000242,body,body,,,,118,,Heading4,,,Activity 1
p000243,body,body,,,,119,,,,,"For each opinion statement below, create a reason and supporting evidence."
p000250,body,body,,,,120,,,,,
p000257,body,body,,,,121,,,,,
p000264,body,body,,,,122,,,,,
p000271,body,body,,,,123,,,,,
p000278,body,body,,,,124,,,,,
p000285,body,body,,,,125,,,,,
p000286,body,body,,,,126,,Heading3,,,Identifying Bias
p000287,body,body,,,,127,,,,,A recent segment on Sky News Australia discussed electric-vehicle (EV) fires and described “thermal runaway” events as virtually impossible to put out. Watch the clip: “Thermal runaway: Electric vehicles catching fire are ‘virtually impossible to put out’” (Sky News Australia).
p000288,body,body,,,,128,,,,,Here are two ways this information can be presented:
p000292,body,body,,,,129,,,,,
p000296,body,body,,,,130,,Heading4,,,Activity 2
p000297,body,body,,,,131,,ListParagraph,31,0,What is bias in the media? Give two examples of framing choices that can bias how audiences interpret risk.
p000298,body,body,,,,132,,ListParagraph,31,0,"Compare Data 1 and Data What’s the key difference in what is being measured? (Hint: severity of an event if it happens vs. how often it happens.) How could presenting these side-by-side, without context, lead viewers to an exaggerated conclusion?"
p000299,body,body,,,,133,,ListParagraph,31,0,Rewrite the Sky News message so it presents both severity and base-rate context clearly in two sentences.
p000300,body,body,,,,134,,ListParagraph,31,0,"What additional evidence would you ask for before forming an opinion (e.g., fleet size, exposure time, definitions of “fire,” regional differences, control for vehicle age)?"
p000301,body,body,,,,135,,ListParagraph,31,0,"After watching the ABC Media Watch critique, identify one specific technique each clip uses (choice of language, visuals, statistics, anecdotes). Which is more persuasive to you, and why?"
p000302,body,body,,,,136,,Heading2,,,Supporting Evidence 2
p000303,body,body,,,,137,,,,,"Is the logical reasoning in these statements strong or weak? Read, discuss and decide with a partner."
p000304,body,body,,,,138,,Heading3,,,Renewable Energy
p000305,body,body,,,,139,,ListParagraph,23,0,I’m not supporting the move to wind and solar because I think it’s unreliable. The weather changes too much to depend on these sources for our electricity needs.
p000306,body,body,,,,140,,ListParagraph,23,0,"According to the International Energy Agency, modern renewable energy systems can now provide consistent power through improved storage technologies, and many countries already generate more than 50% of their electricity from renewable sources without interruption."
p000307,body,body,,,,141,,Heading3,,,Business Strategy
p000308,body,body,,,,142,,ListParagraph,21,0,"We hired a market research company in 2018 to investigate customer’s motivations for buying our products. The company contacted around 10,000 customers to conduct the survey. 76% of respondents said they look first at price when making a purchase decision. Therefore, I think we need to think carefully about our pricing for next year’s sales strategy."
p000309,body,body,,,,143,,ListParagraph,21,0,In my last company we were successful at increasing our sales by discounting our prices in a summer campaign. I think these short-term discounts can incentivize customers to commit to a purchase. We could have a lot of success if we do it here.
p000310,body,body,,,,144,,Heading3,,,Economics
p000311,body,body,,,,145,,ListParagraph,24,0,My boss used to work with an economist who says electricity prices will rise sharply if we move away from fossil fuels.
p000312,body,body,,,,146,,ListParagraph,24,0,"The Bank of Japan’s Outlook for Economic Activity and Prices, released in June 2021, states that confidence in the markets will improve by the end of the year as long as the government can keep to its plan of having most people vaccinated by November."
p000313,body,body,,,,147,,,,,
p000314,body,body,,,,148,,Heading3,,,Lifestyle
p000315,body,body,,,,149,,ListParagraph,25,0,"If I go to the same Pachinko place at the same time every day, I am sure to eventually win big and get my money back. I watched a YouTube video about how some university students won 3.5 million dollars on the lotto using math, so my system is guaranteed to succeed. With my system, I am sure to win."
p000316,body,body,,,,150,,ListParagraph,25,0,"Most medical experts now agree that cardio exercise does little to help with weight loss. In fact, many scientific studies done over the last ten years show that weight training makes a greater contribution to weight loss than cardio activities. Therefore, if you want to lose weight at the gym, you should lift weights."
p000317,body,body,,,,151,,Heading3,,,Travel
p000318,body,body,,,,152,,ListParagraph,26,0,"A comprehensive study conducted by Cornell University in the US between 2010 and 2016 shows that students who did a study abroad year while completing their university degrees tested higher on psychological tests for empathy, flexibility and interpersonal communication."
p000319,body,body,,,,153,,ListParagraph,26,0,"Many people say travel broadens the mind, so I believe I will become a better person from traveling."
p000320,body,body,,,,154,,Heading4,,,Activity 2
p000321,body,body,,,,155,,,,,"Think of a current issue and share your opinion. Support it with reasons and evidence, and then ask your partner to evaluate the logic in your argument."
p000322,body,body,,,,156,,,,,
p000323,body,body,,,,157,,Heading3,,,Facts vs. Fake News
p000324,body,body,,,,158,,,,,"Traditionally, facts have been considered one of the strongest types of evidence and they are commonly researched and verified in order to support an argument. The Oxford Dictionary explains a fact is ‘a thing that is known to be true, especially when it can be proved’. Recently, in some parts of the world, factual evidence seems to be losing its ability to persuade people. Fake news has become a significant problem on social networking sites, and even some quasi-news organisations. Fake news is information on websites and other media which looks like real news, except it is not true, or it is partially true, but the information is incomplete."
p000325,body,body,,,,159,,,,,"In many instances, fake news is purposely designed to confuse people and lead to misunderstanding. In the 2016 US Presidential election, fake news on Facebook and other social media sites was considered an important factor in the election result. However, fake news is usually easy to spot and counter."
p000326,body,body,,,,160,,,,,"First, develop a healthily skeptical attitude. If you are looking at a website which has a history of distributing fake news, do not allow yourself to automatically accept the information you find on the site. Instead, try to confirm it in at least two or a few different and reliable sources. And before you share the information, make sure you have done your research to confirm it, otherwise you will be to blame for spreading untruths."
p000327,body,body,,,,161,,Heading4,,,Activity: Discuss
p000328,body,body,,,,162,,ListParagraph,32,0,Do you know any examples of fake news?
p000329,body,body,,,,163,,ListParagraph,32,0,How do you know the information is fake?
p000330,body,body,,,,164,,ListParagraph,32,0,How common is fake news in Japan? Do you think it will become a bigger issue in the future?
p000331,body,body,,,,165,,,,,
p000332,body,body,,,,166,,Heading2,,,Argument Model 1: PBSR
p000333,body,body,,,,167,,,,,"In business, we most commonly use logical speaking to support proposals and to explain decision-making. It is a key part of problem solving and business reporting. There are a few different ways of presenting information to explain decisions, all of which involve logical reasoning."
p000334,body,body,,,,168,,Heading3,,,Problem-Background-Solution-Result (PBSR)
p000335,body,body,,,,169,,,,,PBSR is a simple model for reporting on problem solving. Here is an example:
p000344,body,body,,,,170,,,,,Notes:
p000345,body,body,,,,171,,ListParagraph,28,0,"In this model, your opinion and its supporting evidence become part of the solution."
p000346,body,body,,,,172,,ListParagraph,28,0,"If you are giving a report on past events, then the result should reflect the outcome of the action and the current situation. However, if you are making a suggestion to deal with a current problem (as in the example above), then the result should indicate your expected outcomes."
p000347,body,body,,,,173,,Heading3,,,PBSR: A Conversation
p000348,body,body,,,,174,,,,,We can also use PBSR as a model for asking for and giving suggestions or advice. Look at the following example of a junior staff member talking with his more experienced senior colleague.
p000349,body,body,,,,175,,,,,Shin:I’ve got a problem at work and I’m not sure how to deal with it.
p000350,body,body,,,,176,,,,,Andre:What’s the problem?
p000351,body,body,,,,177,,,,,"Shin:Well, I made a mistake with a customer’s invoice, and I sent the wrong amount. We overcharged him."
p000352,body,body,,,,178,,,,,Andre:What’s the situation?
p000353,body,body,,,,179,,,,,"Shin:This is a customer we have worked with for a long time, and I recently became responsible for their orders. Because they have been our customer for a long time, they get a special discount on their orders, but I didn’t know that, so I charged them the full amount."
p000354,body,body,,,,180,,,,,"Andre:I see. Have you contacted them? They have been with your company a long time, and your mistake is understandable. I’m sure that if you contact the customer, explain your mistake and apologise, and then issue a corrected invoice, they will be fine with it. "
p000355,body,body,,,,181,,,,,"Shin:Yes, you’re probably right. I’ll call them first thing tomorrow."
p000356,body,body,,,,182,,Heading4,,,Activity
p000357,body,body,,,,183,,ListParagraph,30,0,"In the conversation above, identify:"
p000358,body,body,,,,184,,ListParagraph,29,0,The problem.
p000359,body,body,,,,185,,ListParagraph,29,0,The background.
p000360,body,body,,,,186,,ListParagraph,29,0,The solution.
p000361,body,body,,,,187,,ListParagraph,29,0,The result.
p000362,body,body,,,,188,,ListParagraph,30,0,Think of a problem you have had at work recently and ask your partner for advice. You need to explain the problem and the background. Your partner should suggest a solution and the expected result.
p000363,body,body,,,,189,,,,,
p000364,body,body,,,,190,,Heading2,,,Writing an Argument 1
p000365,body,body,,,,191,,,,,"Choose from one of the following topics and write an argument expressing your opinion with reasons and evidence to support it. If you do not know any evidence, make it up for this practice activity (but in real life, always use real evidence!)."
p000378,body,body,,,,192,,,,,
p000388,body,body,,,,193,,,,,
p000389,body,body,,,,194,,Heading2,,,Argument Model 2: PCAF
p000390,body,body,,,,195,,Heading3,,,Point-Counterpoint-Against-For (PCAF)
p000391,body,body,,,,196,,,,,The model introduced in this unit takes a balanced approach and looks at both sides of the argument but makes a final suggestion in favour of a preferred idea. This is useful when you know what both sides of the argument are as you can explain why your idea is better than the alternative.
p000392,body,body,,,,197,,,,,In this model:
p000393,body,body,,,,198,,ListParagraph,34,0,"Point is your idea, opinion or suggestion."
p000394,body,body,,,,199,,ListParagraph,34,0,Counterpoint is a common but different (and sometimes opposing) idea to yours.
p000395,body,body,,,,200,,ListParagraph,34,0,Against is your reasoning for rejecting the counterpoint.
p000396,body,body,,,,201,,ListParagraph,34,0,For is your reasoning for supporting your point.
p000397,body,body,,,,202,,,,,Look at the following example.
p000406,body,body,,,,203,,Heading4,,,Activity
p000407,body,body,,,,204,,,,,"Choose from the following topics. Brainstorm PCAF points for each one with a partner, and then present your ideas in teams."
p000408,body,body,,,,205,,ListParagraph,35,0,Is the death penalty effective?
p000409,body,body,,,,206,,ListParagraph,35,0,Is competition good for kids?
p000410,body,body,,,,207,,ListParagraph,35,0,Is buying a lottery ticket a good idea?
p000411,body,body,,,,208,,ListParagraph,35,0,Should companies be allowed to advertise to children?
p000412,body,body,,,,209,,ListParagraph,35,0,Should companies hire SNS influencers to promote their products?
p000413,body,body,,,,210,,ListParagraph,35,0,Are loyalty programs an effective marketing strategy?
p000414,body,body,,,,211,,ListParagraph,35,0,Are chatbots effective tools for customer service?
p000415,body,body,,,,212,,ListParagraph,35,0,Should companies allow employees to bring their pets to work?
p000416,body,body,,,,213,,ListParagraph,35,0,
p000417,body,body,,,,214,,Heading2,,,Writing an Argument 2
p000418,body,body,,,,215,,,,,"Choose from one of the following topics and write an argument expressing your opinion with reasons and evidence to support it. If you do not know any evidence, make it up for this practice activity (but in real life, always use real evidence!)."
p000431,body,body,,,,216,,,,,
p000441,body,body,,,,217,,,,,
p000442,body,body,,,,218,,Heading2,,,A Business Meeting 1
p000443,body,body,,,,219,,Heading4,,,Activity
p000444,body,body,,,,220,,ListParagraph,27,0,Read following situation.
p000445,body,body,,,,221,,,,,"Your company sells frozen meals at convenience stores and supermarket chains across the country. Recently, you launched a new line of pre-packed frozen meals. Your company invested a lot of money on the promotion of the new line, including hiring a famous actor to endorse it. This new product line uses a new technology to flash freeze the product."
p000446,body,body,,,,222,,,,,A recent paper published in a scientific journal claims that eating the food produced by the new technology may result in a higher risk of heart attack. This was shown in one six-month study of 30 lab mice.
p000447,body,body,,,,223,,,,,A science news reporter has contacted you to talk about the research and how it impacts your new line. He wants to know what action you will take.
p000448,body,body,,,,224,,,,,You will join an emergency meeting to discuss the issue. You need to answer the following questions:
p000449,body,body,,,,225,,ListParagraph,10,0,"Is the study credible, and how could it influence the regular consumer?"
p000450,body,body,,,,226,,ListParagraph,,,What is the real risk to the consumer? 
p000451,body,body,,,,227,,ListParagraph,,,What could the impact be on the company? Consider different scenarios.
p000452,body,body,,,,228,,ListParagraph,,,How should the company respond?
p000453,body,body,,,,229,,ListParagraph,27,0,Think about each of the questions above and form your own opinion. Be ready to share your opinion in the meeting and support it with reasons and evidence.
p000454,body,body,,,,230,,,,,
p000455,body,body,,,,231,,Heading2,,,A Business Meeting 2
p000456,body,body,,,,232,,,,,"Now, have the meeting and make arguments responding to each of the questions. Make decisions about how to address the problem."
p000457,body,body,,,,233,,Heading4,,,Debrief
p000458,body,body,,,,234,,,,,"Think about the meeting you just had, and answer the following questions. For each question, give yourself a score from 1 to 5, where 1 is ‘Not at all’, and 5 is ‘Definitely’."
p000459,body,body,,,,235,,ListParagraph,36,0,Were you able to clearly share your opinion?
p000460,body,body,,,,236,,ListParagraph,36,0,Did you provide reasons to support your opinions?
p000461,body,body,,,,237,,ListParagraph,36,0,Could you support your opinions with credible evidence that was logically connected to both your reasons and your opinions?
p000462,body,body,,,,238,,ListParagraph,36,0,Were you able to persuade others to accept your ideas?
p000463,body,body,,,,239,,,,,"Share your answers with your classmates, and your instructor. Explain what you would do differently in your next meeting to improve the result of the meeting."
p000464,body,body,,,,240,,,,,
p000465,body,body,,,,241,,Heading2,,,Language Bank
p000466,body,body,,,,242,,,,,
p000467,body,body,,,,243,,,,,
p000468,body,body,,,,244,,Heading5,,,Expressing an Opinion
p000469,body,body,,,,245,,,,,In my opinion…
p000470,body,body,,,,246,,,,,As far as I’m concerned…
p000471,body,body,,,,247,,,,,From my point of view…
p000472,body,body,,,,248,,,,,I believe…
p000473,body,body,,,,249,,,,,It seems as though…
p000474,body,body,,,,250,,,,,There is no doubt that…
p000475,body,body,,,,251,,,,,I feel…
p000476,body,body,,,,252,,,,,I’m sure that…
p000477,body,body,,,,253,,,,,I was happy to see…
p000478,body,body,,,,254,,,,,I think…
p000479,body,body,,,,255,,,,,"Personally, I think…"
p000480,body,body,,,,256,,,,,"To me, it’s clear that…"
p000481,body,body,,,,257,,,,,My view is that…
p000482,body,body,,,,258,,,,,The way I see it…
p000483,body,body,,,,259,,,,,I’d say that…
p000484,body,body,,,,260,,,,,In my view…
p000485,body,body,,,,261,,,,,I’m convinced that…
p000486,body,body,,,,262,,,,,It’s my belief that…
p000487,body,body,,,,263,,,,,If you ask me…
p000488,body,body,,,,264,,,,,Speaking for myself…
p000489,body,body,,,,265,,Heading5,,,Giving Reasons
p000490,body,body,,,,266,,,,,because
p000491,body,body,,,,267,,,,,due to
p000492,body,body,,,,268,,,,,as a result
p000493,body,body,,,,269,,,,,that’s why
p000494,body,body,,,,270,,,,,consequently
p000495,body,body,,,,271,,,,,so
p000496,body,body,,,,272,,,,,since
p000497,body,body,,,,273,,,,,in order to
p000498,body,body,,,,274,,,,,given that…
p000499,body,body,,,,275,,,,,owing to
p000500,body,body,,,,276,,,,,therefore
p000501,body,body,,,,277,,,,,for this reason
p000502,body,body,,,,278,,,,,seeing that…
p000503,body,body,,,,279,,,,,considering that…
p000504,body,body,,,,280,,,,,on the grounds that…
p000505,body,body,,,,281,,Heading5,,,Discourse Markers
p000506,body,body,,,,282,,,,,for instance
p000507,body,body,,,,283,,,,,actually
p000508,body,body,,,,284,,,,,on the other hand
p000509,body,body,,,,285,,,,,what’s more
p000510,body,body,,,,286,,,,,at least
p000511,body,body,,,,287,,,,,that’s why
p000512,body,body,,,,288,,,,,usually
p000513,body,body,,,,289,,,,,in short
p000514,body,body,,,,290,,,,,as I say
p000515,body,body,,,,291,,,,,to begin with
p000516,body,body,,,,292,,,,,in fact
p000517,body,body,,,,293,,,,,even so
p000518,body,body,,,,294,,,,,besides
p000519,body,body,,,,295,,,,,in any case
p000520,body,body,,,,296,,,,,at the same time
p000521,body,body,,,,297,,,,,above all
p000522,body,body,,,,298,,,,,after all
p000523,body,body,,,,299,,,,,as a matter of fact
p000524,body,body,,,,300,,Heading5,,,Organizing Ideas
p000525,body,body,,,,301,,,,,first(ly)
p000526,body,body,,,,302,,,,,second(ly)
p000527,body,body,,,,303,,,,,third(ly)
p000528,body,body,,,,304,,,,,and then
p000529,body,body,,,,305,,,,,next
p000530,body,body,,,,306,,,,,in the end
p000531,body,body,,,,307,,,,,lastly
p000532,body,body,,,,308,,,,,last of all
p000533,body,body,,,,309,,,,,finally
p000534,body,body,,,,310,,,,,for a start
p000535,body,body,,,,311,,,,,on top of that
p000536,body,body,,,,312,,,,,to sum up
p000537,body,body,,,,313,,,,,in general
p000538,body,body,,,,314,,,,,well…
p000539,body,body,,,,315,,Heading5,,,Describing Evidence
p000540,body,body,,,,316,,,,,According to…
p000541,body,body,,,,317,,,,,The data shows…
p000542,body,body,,,,318,,,,,Statistics indicate that…
p000543,body,body,,,,319,,,,,Research suggests…
p000544,body,body,,,,320,,,,,Studies have found…
p000545,body,body,,,,321,,,,,Historical records show…
p000546,body,body,,,,322,,,,,The figures reveal…
p000547,body,body,,,,323,,,,,A recent survey found…
p000548,body,body,,,,324,,,,,Experts agree that…
p000549,body,body,,,,325,,,,,Based on case studies…
p000550,body,body,,,,326,,,,,An eyewitness reported…
p000551,body,body,,,,327,,,,,In my experience…
p000552,body,body,,,,328,,,,,The facts are clear that…
p000553,body,body,,,,329,,,,,Reports confirm that…
p000554,body,body,,,,330,,,,,The results demonstrate…
p000555,body,body,,,,331,,Heading5,,,Evaluating Evidence
p000556,body,body,,,,332,,,,,Is the information credible?
p000557,body,body,,,,333,,,,,Who is the source?
p000558,body,body,,,,334,,,,,Is it objective?
p000559,body,body,,,,335,,,,,Is it biased?
p000560,body,body,,,,336,,,,,Does it support an agenda?
p000561,body,body,,,,337,,,,,Is it current?
p000562,body,body,,,,338,,,,,Is it relevant?
p000563,body,body,,,,339,,,,,Is it accurate?
p000564,body,body,,,,340,,,,,Is the source reputable?
