context,table_index,row_index,col_index,width_cm,gridSpan,vMerge,vAlign,snippet,first_para_id
body,3,2,2,3.658,,,center,,p000127
body,3,3,0,7.483,,,center,Making a contrast,p000128
body,3,3,1,3.658,,,center,on the other hand,p000129
body,3,3,2,3.658,,,center,,p000130
body,3,4,0,7.483,,,center,"Adding another, different idea",p000131
body,3,4,1,3.658,,,center,what’s more,p000132
body,3,4,2,3.658,,,center,,p000133
body,3,5,0,7.483,,,center,Defining more exactly,p000134
body,3,5,1,3.658,,,center,at least,p000135
body,3,5,2,3.658,,,center,,p000136
body,3,6,0,7.483,,,center,Giving a result or consequence,p000137
body,3,6,1,3.658,,,center,that’s why,p000138
body,3,6,2,3.658,,,center,,p000139
body,3,7,0,7.483,,,center,Talking generally,p000140
body,3,7,1,3.658,,,center,usually,p000141
body,3,7,2,3.658,,,center,,p000142
body,3,8,0,7.483,,,center,Summarising,p000143
body,3,8,1,3.658,,,center,in short,p000144
body,3,8,2,3.658,,,center,,p000145
body,4,0,0,6.0,,,center,Business Topics,p000149
body,4,0,1,6.0,,,center,General Topics,p000150
body,4,1,0,6.0,,,center,Communication at work,p000151
body,4,1,1,6.0,,,center,The environment,p000152
body,4,2,0,6.0,,,center,Work-life balance,p000153
body,4,2,1,6.0,,,center,Video games,p000154
body,4,3,0,6.0,,,center,Managing yourself,p000155
body,4,3,1,6.0,,,center,Eating out,p000156
body,4,4,0,6.0,,,center,Decision making,p000157
body,4,4,1,6.0,,,center,Transportation,p000158
body,4,5,0,6.0,,,center,International business,p000159
body,4,5,1,6.0,,,center,Travel,p000160
body,5,0,0,3.0,,,center,and,p000166
body,5,0,1,3.0,,,center,in general,p000167
body,5,0,2,3.0,,,center,second,p000168
body,5,0,3,3.0,,,center,to sum up,p000169
body,5,1,0,3.0,,,center,and then,p000170
body,5,1,1,3.0,,,center,in the end,p000171
body,5,1,2,3.0,,,center,*secondly,p000172
body,5,1,3,3.0,,,center,what’s more,p000173
body,5,2,0,3.0,,,center,first (of all),p000174
body,5,2,1,3.0,,,center,last of all,p000175
body,5,2,2,3.0,,,center,so,p000176
body,5,2,3,3.0,,,center,well,p000177
body,5,3,0,3.0,,,center,*firstly,p000178
body,5,3,1,3.0,,,center,next,p000179
body,5,3,2,3.0,,,center,lastly,p000180
body,5,3,3,3.0,,,center,a … b,p000181
body,5,4,0,3.0,,,center,for a start,p000182
body,5,4,1,3.0,,,center,on top of that,p000183
body,5,4,2,3.0,,,center,thirdly,p000184
body,5,4,3,3.0,,,center,finally,p000185
body,6,0,0,2.487,,,center,Category,p000200
body,6,0,1,2.487,,,center,Type,p000201
body,6,0,2,2.487,,,center,Validity,p000202
body,6,0,3,7.538,,,center,Example,p000203
body,6,1,0,2.487,,restart,center,Facts,p000204
body,6,1,1,2.487,,,center,Statistics and data,p000205
body,6,1,2,2.487,,,center,Very strong,p000206
body,6,1,3,7.538,,,center,94% of all customer surveys collected in the last 12 months indicate customers are very satisfied with our service.,p000207
body,6,2,0,2.487,,continue,center,,p000208
body,6,2,1,2.487,,,center,Historical events,p000209
body,6,2,2,2.487,,,center,Very strong,p000210
body,6,2,3,7.538,,,center,"On March 11, 2011, Japan experienced a magnitude 9 earthquake and a 39-meter tsunami.",p000211
body,6,3,0,2.487,,continue,center,,p000212
body,6,3,1,2.487,,,center,Objective information,p000213
body,6,3,2,2.487,,,center,Very strong,p000214
body,6,3,3,7.538,,,center,The distance between Tokyo and Osaka is 498.9 km on the Tokaido Highway.,p000215
body,6,4,0,2.487,,continue,center,,p000216
body,6,4,1,2.487,,,center,Case studies and scientific research,p000217
body,6,4,2,2.487,,,center,Strong to very strong,p000218
body,6,4,3,7.538,,,center,"In 2016, the Avanti Staff staffing company participated in a study to investigate the current market situation and its growth factors. The study found…",p000219
body,6,5,0,2.487,,,center,Judgment,p000220
body,6,5,1,2.487,,,center,Analogy,p000221
body,6,5,2,2.487,,,center,Weak to moderate,p000222
body,6,5,3,7.538,,,center,"We are in the same situation as the Osaka branch, and they had great success.",p000223
body,6,6,0,2.487,,restart,center,Testimony,p000224
body,6,6,1,2.487,,,center,Expert opinion,p000225
body,6,6,2,2.487,,,center,Moderate,p000226
body,6,6,3,7.538,,,center,"According to our CEO, the best way to grow the business is through an M&A strategy.",p000227
body,6,7,0,2.487,,continue,center,,p000228
body,6,7,1,2.487,,,center,Personal experience,p000229
body,6,7,2,2.487,,,center,Weak,p000230
body,6,7,3,7.538,,,center,"Last year, I went on a business trip to Brazil. I found Brazilians to be very friendly and open.",p000231
body,6,8,0,2.487,,continue,center,,p000232
body,6,8,1,2.487,,,center,Eyewitness accounts,p000233
body,6,8,2,2.487,,,center,Weak to moderate,p000234
body,6,8,3,7.538,,,center,I participated in a meeting last week in which the Department Manager said we need to cut costs greatly.,p000235
body,7,0,0,2.499,,,center,Opinion,p000244
body,7,0,1,12.499,,,center,I believe employees in our company work too much overtime.,p000245
body,7,1,0,2.499,,,center,Reason,p000246
body,7,1,1,12.499,,,center,This is because our staff always seem tired and recently many have called in sick.,p000247
body,7,2,0,2.499,,,,Evidence,p000248
body,7,2,1,12.499,,,,The company’s last quarterly report shows overtime costs are at almost 47% and use of sick leave has increased 12%.,p000249
body,8,0,0,2.499,,,center,Opinion,p000251
body,8,0,1,12.499,,,center,"In my opinion, our products are too expensive for the average customer.",p000252
body,8,1,0,2.499,,,center,Reason,p000253
body,8,1,1,12.499,,,center,,p000254
body,8,2,0,2.499,,,center,Evidence,p000255
body,8,2,1,12.499,,,center,,p000256
body,9,0,0,2.499,,,center,Opinion,p000258
body,9,0,1,12.499,,,center,I think staff in the office want to work remotely more often.,p000259
body,9,1,0,2.499,,,center,Reason,p000260
body,9,1,1,12.499,,,center,,p000261
body,9,2,0,2.499,,,center,Evidence,p000262
body,9,2,1,12.499,,,center,,p000263
body,10,0,0,2.499,,,center,Opinion,p000265
body,10,0,1,12.499,,,center,"From my point of view, customers want high quality products.",p000266
body,10,1,0,2.499,,,center,Reason,p000267
body,10,1,1,12.499,,,center,,p000268
body,10,2,0,2.499,,,center,Evidence,p000269
body,10,2,1,12.499,,,center,,p000270
body,11,0,0,2.499,,,center,Opinion,p000272
body,11,0,1,12.499,,,center,"In my opinion, celebrity endorsements are the best way to sell a product.",p000273
body,11,1,0,2.499,,,center,Reason,p000274
body,11,1,1,12.499,,,center,,p000275
body,11,2,0,2.499,,,center,Evidence,p000276
body,11,2,1,12.499,,,center,,p000277
body,12,0,0,2.499,,,center,Opinion,p000279
body,12,0,1,12.499,,,center,"As far as I’m concerned, (your choice.)",p000280
body,12,1,0,2.499,,,center,Reason,p000281
body,12,1,1,12.499,,,center,,p000282
body,12,2,0,2.499,,,center,Evidence,p000283
body,12,2,1,12.499,,,center,,p000284
body,13,0,0,6.0,,,,"Data 1 (Severity frame) If an EV battery enters thermal runaway, the fire is extremely intense and difficult to extinguish. Crews may need massive amounts of wa",p000289
body,13,0,1,8.981,,,,,p000291
body,14,0,0,6.0,,,,"Data 2 (Base-rate frame) According to data summarized by Kelley Blue Book from U.S. safety sources, EVs are involved in ~25 fires per 100,000 vehicles sold, com",p000293
body,14,0,1,8.981,,,,,p000295
body,15,0,0,2.586,,,,Problem,p000336
body,15,0,1,12.577,,,,"The sales of our language training service have dropped 50% on average for each quarter since a major competitor launched a new, heavily promoted online learnin",p000337
body,15,1,0,2.586,,,,Background,p000338
body,15,1,1,12.577,,,,"Before the competitor’s launch, we were doing well. We achieved our sales targets, and our client feedback was very positive. Our language training business gre",p000339
body,15,2,0,2.586,,,,Solution,p000340
body,15,2,1,12.577,,,,"I believe that in order to quickly return to a profitable business model, we have to take a two-pronged approach: First, we need to increase sales. Second, we n",p000341
body,15,3,0,2.586,,,,Result,p000342
body,15,3,1,12.577,,,,"The combination of reduced costs and increased sales volume, even at a lower cost per unit, should see us return to profitability within six months.",p000343
body,16,0,0,2.94,,,center,The best company in the world is…,p000366
body,16,0,1,2.94,,,center,The best way to attract great employees is…,p000367
body,16,0,2,2.94,,,center,Companies should allow four-day work weeks.,p000368
body,16,1,0,2.94,,,center,The best way to motivate staff is to pay them well.,p000369
body,16,1,1,2.94,,,center,Companies need to pay more in taxes.,p000370
body,16,1,2,2.94,,,center,The best managers lead by example.,p000371
body,16,2,0,2.94,,,center,"Nowadays, we should be able to wear more casual clothes at work.",p000372
body,16,2,1,2.94,,,center,English training should be provided and paid for by the company.,p000373
body,16,2,2,2.94,,,center,Staff don’t get enough formal training.,p000374
body,16,3,0,2.94,,,center,SNS is a valid form of business communication.,p000375
body,16,3,1,2.94,,,center,Business meetings are usually a waste of time.,p000376
body,16,3,2,2.94,,,center,Your choice,p000377
body,17,0,0,14.998,,,,,p000379
body,17,1,0,14.998,,,,,p000380
body,17,2,0,14.998,,,,,p000381
body,17,3,0,14.998,,,,,p000382
body,17,4,0,14.998,,,,,p000383
body,17,5,0,14.998,,,,,p000384
body,17,6,0,14.998,,,,,p000385
body,17,7,0,14.998,,,,,p000386
body,17,8,0,14.998,,,,,p000387
body,18,0,0,3.0,,,center,Point,p000398
body,18,0,1,9.998,,,center,"To become more profitable, we should invest in developing new products.",p000399
body,18,1,0,3.0,,,center,Counterpoint,p000400
body,18,1,1,9.998,,,center,Some people think we should just cut costs.,p000401
body,18,2,0,3.0,,,center,Against,p000402
body,18,2,1,9.998,,,center,"It’s true that cost-cutting is important, but it is really a temporary solution if we want to grow.",p000403
body,18,3,0,3.0,,,center,For,p000404
body,18,3,1,9.998,,,center,"However, investing in new products can lead to market growth and new sales revenue as we attract new customers. This will lead to profit.",p000405
body,19,0,0,2.94,,,center,The best company in the world is…,p000419
body,19,0,1,2.94,,,center,The best way to attract great employees is…,p000420
body,19,0,2,2.94,,,center,Companies should allow four-day work weeks.,p000421
body,19,1,0,2.94,,,center,The best way to motivate staff is to pay them well.,p000422
body,19,1,1,2.94,,,center,Companies need to pay more in taxes.,p000423
body,19,1,2,2.94,,,center,The best managers lead by example.,p000424
body,19,2,0,2.94,,,center,"Nowadays, we should be able to wear more casual clothes at work.",p000425
body,19,2,1,2.94,,,center,English training should be provided and paid for by the company.,p000426
body,19,2,2,2.94,,,center,Staff don’t get enough formal training.,p000427
body,19,3,0,2.94,,,center,SNS is a valid form of business communication.,p000428
body,19,3,1,2.94,,,center,Business meetings are usually a waste of time.,p000429
body,19,3,2,2.94,,,center,Your choice,p000430
body,20,0,0,14.998,,,,,p000432
body,20,1,0,14.998,,,,,p000433
body,20,2,0,14.998,,,,,p000434
body,20,3,0,14.998,,,,,p000435
body,20,4,0,14.998,,,,,p000436
body,20,5,0,14.998,,,,,p000437
body,20,6,0,14.998,,,,,p000438
body,20,7,0,14.998,,,,,p000439
body,20,8,0,14.998,,,,,p000440
